,date,month,year,dengue,flu,total_rainfall,no_of_rainy_days,relative_humidity,mean_sunshine_hrs,mean_daily_temp
0,2012-01-01,1,2012,332.0,116641.0,106.1,16.0,87.3,6.0,24.3
1,2012-02-01,2,2012,257.0,85393.0,83.6,11.0,85.6,7.0,24.8
2,2012-03-01,3,2012,229.0,76979.0,313.4,21.0,87.3,4.2,24.4
3,2012-04-01,4,2012,360.0,106407.0,260.6,20.0,85.1,5.8,24.8
4,2012-05-01,5,2012,337.0,83776.0,292.0,19.0,83.1,5.6,24.8
5,2012-06-01,6,2012,465.0,69279.0,53.0,8.0,79.0,6.0,26.3
6,2012-07-01,7,2012,599.0,104356.0,130.8,17.0,81.1,6.2,25.3
7,2012-08-01,8,2012,436.0,74963.0,119.0,12.0,79.8,6.1,25.4
8,2012-09-01,9,2012,422.0,88431.0,107.6,10.0,79.7,5.6,25.3
9,2012-10-01,10,2012,415.0,74942.0,122.2,13.0,81.3,5.9,25.2
10,2012-11-01,11,2012,365.0,71435.0,208.2,22.0,85.4,4.4,24.7
11,2012-12-01,12,2012,385.0,74158.0,363.4,22.0,87.0,3.6,24.4
12,2013-01-01,1,2013,979.0,87353.0,262.0,15.0,82.1,6.0,24.6
13,2013-02-01,2,2013,1109.0,79289.0,395.2,22.0,86.9,4.0,24.3
14,2013-03-01,3,2013,1600.0,84693.0,85.8,10.0,80.4,7.5,25.6
15,2013-04-01,4,2013,2079.0,75187.0,159.4,19.0,82.7,5.2,25.3
16,2013-05-01,5,2013,2546.0,75075.0,211.4,17.0,83.1,5.4,25.6
17,2013-06-01,6,2013,3934.0,86100.0,111.4,12.0,74.6,6.4,25.9
18,2013-07-01,7,2013,1522.0,68691.0,174.6,15.0,79.9,5.7,25.2
19,2013-08-01,8,2013,1353.0,70497.0,165.6,15.0,79.0,6.1,25.1
20,2013-09-01,9,2013,1997.0,79289.0,257.0,19.0,81.3,4.6,24.8
21,2013-10-01,10,2013,1758.0,65898.0,285.4,19.0,79.9,6.3,24.6
22,2013-11-01,11,2013,1580.0,73157.0,292.4,22.0,84.6,4.5,24.5
23,2013-12-01,12,2013,1644.0,91840.0,348.2,21.0,85.8,3.5,24.1
24,2014-01-01,1,2014,1450.0,87213.0,75.4,5.0,78.5,5.3,24.0
25,2014-02-01,2,2014,1021.0,78113.0,0.2,1.0,74.5,8.8,24.5
26,2014-03-01,3,2014,1108.0,78582.0,66.0,6.0,76.0,8.0,25.1
27,2014-04-01,4,2014,1012.0,68628.0,110.0,17.0,80.0,5.7,25.5
28,2014-05-01,5,2014,1435.0,73885.0,125.8,18.0,80.2,5.8,25.8
29,2014-06-01,6,2014,3073.0,84910.0,71.4,11.0,77.5,6.0,26.3
30,2014-07-01,7,2014,2679.0,74970.0,148.6,15.0,78.3,5.5,25.8
31,2014-08-01,8,2014,2107.0,91847.0,241.0,20.0,79.7,4.5,25.2
32,2014-09-01,9,2014,1441.0,59255.0,83.6,9.0,75.6,7.0,25.7
33,2014-10-01,10,2014,974.0,56315.0,120.0,10.0,77.0,6.0,25.7
34,2014-11-01,11,2014,849.0,76209.0,250.8,23.0,82.4,5.4,24.8
35,2014-12-01,12,2014,1157.0,86779.0,245.6,17.0,82.6,3.7,24.7
36,2015-01-01,1,2015,980.0,81872.0,79.6,6.0,77.6,7.4,24.6
37,2015-02-01,2,2015,656.0,81956.0,18.8,6.0,75.4,7.3,24.4
38,2015-03-01,3,2015,609.0,84931.0,84.4,5.0,75.8,7.3,25.5
39,2015-04-01,4,2015,477.0,70098.0,73.2,13.0,77.1,7.2,25.9
40,2015-05-01,5,2015,730.0,100184.0,89.0,12.0,78.9,5.8,26.4
41,2015-06-01,6,2015,881.0,71666.0,95.8,10.0,75.8,6.7,26.6
42,2015-07-01,7,2015,1078.0,66654.0,116.8,13.0,74.9,7.1,26.7
43,2015-08-01,8,2015,1168.0,92491.0,185.8,11.0,76.7,6.1,26.0
44,2015-09-01,9,2015,991.0,75376.0,61.6,8.0,75.0,4.3,26.5
45,2015-10-01,10,2015,940.0,72436.0,87.2,9.0,75.4,4.7,26.1
46,2015-11-01,11,2015,1262.0,90090.0,72.6,13.0,79.1,4.8,25.5
47,2015-12-01,12,2015,1520.0,66717.0,302.3,19.0,81.1,5.3,25.0
48,2016-01-01,1,2016,2949.0,101927.0,126.6,15.0,79.6,7.2,26.0
49,2016-02-01,2,2016,1926.0,91441.0,186.0,10.0,78.8,6.5,25.6
50,2016-03-01,3,2016,1447.0,71470.0,6.2,6.0,74.7,8.0,26.6
51,2016-04-01,4,2016,984.0,68649.0,89.8,14.0,75.6,7.0,26.7
52,2016-05-01,5,2016,1021.0,95375.0,193.8,12.0,77.4,6.2,26.5
53,2016-06-01,6,2016,798.0,76475.0,162.8,13.0,77.7,5.4,26.1
54,2016-07-01,7,2016,1166.0,114947.0,168.6,20.0,77.3,6.3,25.8
55,2016-08-01,8,2016,1002.0,79289.0,139.2,15.0,74.0,6.7,26.2
56,2016-09-01,9,2016,729.0,68390.0,118.9,15.0,73.9,5.5,25.1
57,2016-10-01,10,2016,496.0,84483.0,181.0,16.0,72.0,4.6,25.2
58,2016-11-01,11,2016,316.0,73206.0,290.2,20.0,77.6,3.5,24.9
59,2016-12-01,12,2016,276.0,66885.0,292.6,23.0,72.8,5.1,24.7
60,2017-01-01,1,2017,358.0,106176.0,197.6,21.0,84.8,4.8,24.7
61,2017-02-01,2,2017,223.0,88683.0,158.4,15.0,83.2,7.1,24.7
62,2017-03-01,3,2017,147.0,80955.0,136.2,11.0,82.5,6.1,24.9
63,2017-04-01,4,2017,199.0,112210.0,208.6,21.0,83.5,5.3,25.0
64,2017-05-01,5,2017,212.0,96782.0,190.0,15.0,82.8,5.9,25.9
65,2017-06-01,6,2017,289.0,73395.0,106.0,10.0,80.2,6.3,25.9
66,2017-07-01,7,2017,293.0,107660.0,79.6,9.0,79.6,7.0,26.0
67,2017-08-01,8,2017,192.0,76643.0,84.2,18.0,79.9,6.1,25.9
68,2017-09-01,9,2017,190.0,71526.0,124.4,19.0,81.0,5.7,25.4
69,2017-10-01,10,2017,307.0,103411.0,120.8,18.0,82.5,5.5,25.3
70,2017-11-01,11,2017,155.0,80829.0,268.6,24.0,86.3,4.2,24.6
71,2017-12-01,12,2017,190.0,76671.0,371.2,23.0,85.2,5.6,24.6
72,2018-01-01,1,2018,215.0,111118.0,287.0,25.0,86.6,4.1,24.0
73,2018-02-01,2,2018,167.0,102067.0,14.8,5.0,77.2,8.0,24.8
74,2018-03-01,3,2018,134.0,79163.0,44.6,10.0,78.4,6.4,25.4
75,2018-04-01,4,2018,261.0,106428.0,61.2,14.0,78.5,6.8,25.8
76,2018-05-01,5,2018,241.0,86226.0,132.2,19.0,79.0,5.8,26.2
77,2018-06-01,6,2018,264.0,74816.0,182.6,17.0,79.3,4.1,25.6
78,2018-07-01,7,2018,247.0,110586.0,143.2,10.0,77.7,6.1,26.0
79,2018-08-01,8,2018,242.0,77686.0,121.6,11.0,77.0,6.7,26.1
80,2018-09-01,9,2018,278.0,95102.0,144.4,13.0,77.1,6.0,25.3
81,2018-10-01,10,2018,264.0,80661.0,234.4,18.0,79.7,6.1,25.2
82,2018-11-01,11,2018,355.0,92918.0,169.6,27.0,83.2,3.8,24.6
83,2018-12-01,12,2018,591.0,109669.0,172.6,19.0,81.5,5.1,25.3
84,2019-01-01,1,2019,852.0,94626.0,63.6,9.0,75.6,7.1,25.6
85,2019-02-01,2,2019,704.0,90146.0,31.6,5.0,74.1,9.2,25.4
86,2019-03-01,3,2019,545.0,97594.0,72.2,6.0,72.3,8.3,25.6
87,2019-04-01,4,2019,607.0,84364.0,174.8,9.0,77.6,5.9,25.9
88,2019-05-01,5,2019,1370.0,87297.0,69.0,13.0,79.2,7.0,26.5
89,2019-06-01,6,2019,2373.0,102088.0,173.8,16.0,79.5,5.3,26.1
90,2019-07-01,7,2019,2503.0,90720.0,12.2,8.0,75.2,7.5,26.9
91,2019-08-01,8,2019,1929.0,75334.0,11.8,6.0,72.1,7.6,27.1
92,2019-09-01,9,2019,1440.0,88074.0,22.8,4.0,73.0,6.7,26.6
93,2019-10-01,10,2019,1013.0,83965.0,176.8,15.0,78.1,6.5,25.3
94,2019-11-01,11,2019,1316.0,86366.0,137.4,15.0,79.2,5.5,25.4
95,2019-12-01,12,2019,1258.0,113799.0,421.5,14.0,83.9,4.8,24.6
96,2020-01-01,1,2020,1421.0,110824.0,88.4,6.0,77.9,7.1,25.2
97,2020-02-01,2,2020,1531.0,85680.0,65.0,8.0,76.0,8.3,25.3
98,2020-03-01,3,2020,1823.0,81480.0,108.8,8.0,75.2,7.6,25.9
99,2020-04-01,4,2020,1490.0,29379.0,188.0,12.0,76.4,7.1,26.0
100,2020-05-01,5,2020,3243.0,17773.0,255.6,16.0,79.1,5.7,26.1
101,2020-06-01,6,2020,5424.0,23345.0,233.8,21.0,80.2,4.3,25.5
102,2020-07-01,7,2020,6557.0,21035.0,140.8,22.0,78.2,5.7,25.5
103,2020-08-01,8,2020,6378.0,25319.0,103.4,12.0,76.8,6.4,25.9
104,2020-09-01,9,2020,2591.0,29519.0,150.2,18.0,79.0,4.8,24.9
105,2020-10-01,10,2020,2122.0,24521.0,78.8,16.0,75.4,4.3,25.6
106,2020-11-01,11,2020,1527.0,27489.0,220.6,19.0,81.7,4.0,25.0
107,2020-12-01,12,2020,1154.0,49714.0,253.2,20.0,81.1,5.2,24.5
108,2021-01-01,1,2021,786.0,40306.0,692.8,17.0,82.6,4.2,23.8
109,2021-02-01,2,2021,574.0,34517.0,1.0,2.0,73.8,8.2,24.8
110,2021-03-01,3,2021,507.0,33271.0,182.4,14.0,76.6,7.3,25.0
111,2021-04-01,4,2021,426.0,36673.0,290.4,14.0,77.4,6.8,25.3
112,2021-05-01,5,2021,572.0,46956.0,245.8,13.0,79.3,6.0,26.0
113,2021-06-01,6,2021,510.0,21217.0,93.4,20.0,77.8,6.5,25.6
114,2021-07-01,7,2021,341.0,29722.0,195.8,12.0,76.5,6.8,26.2
115,2021-08-01,8,2021,304.0,36050.0,293.6,24.0,80.4,4.8,24.8
116,2021-09-01,9,2021,348.0,34153.0,205.4,14.0,77.3,6.4,25.6
117,2021-10-01,10,2021,399.0,41307.0,177.0,14.0,78.3,6.2,25.8
118,2021-11-01,11,2021,209.0,29855.0,312.4,23.0,81.7,4.9,24.8
119,2021-12-01,12,2021,269.0,25319.0,119.6,15.0,79.7,5.4,25.4
120,2022-01-01,1,2022,752.0,60641.0,99.8,9.0,77.4,8.3,24.9
121,2022-02-01,2,2022,837.0,84910.0,175.0,16.0,80.3,5.9,24.8
122,2022-03-01,3,2022,1741.0,56077.0,163.2,21.0,79.2,6.4,25.1
123,2022-04-01,4,2022,3319.0,40642.0,239.6,18.0,80.0,5.2,25.1
124,2022-05-01,5,2022,6443.0,62195.0,102.0,12.0,76.5,6.7,26.2
125,2022-06-01,6,2022,5069.0,57533.0,211.8,17.0,79.1,4.7,25.3
126,2022-07-01,7,2022,5103.0,103033.0,145.2,16.0,76.8,6.2,25.8
127,2022-08-01,8,2022,2796.0,63833.0,141.4,15.0,77.4,5.5,25.8
