date,dengue_cases
2012-01-01,74.0
2012-01-08,64.0
2012-01-15,60.0
2012-01-22,50.0
2012-01-29,84.0
2012-02-05,87.0
2012-02-12,65.0
2012-02-19,50.0
2012-02-26,55.0
2012-03-04,45.0
2012-03-11,64.0
2012-03-18,72.0
2012-03-25,48.0
2012-04-01,52.0
2012-04-08,81.0
2012-04-15,77.0
2012-04-22,64.0
2012-04-29,86.0
2012-05-06,96.0
2012-05-13,80.0
2012-05-20,80.0
2012-05-27,81.0
2012-06-03,99.0
2012-06-10,87.0
2012-06-17,128.0
2012-06-24,151.0
2012-07-01,140.0
2012-07-08,131.0
2012-07-15,124.0
2012-07-22,110.0
2012-07-29,94.0
2012-08-05,127.0
2012-08-12,115.0
2012-08-19,92.0
2012-08-26,102.0
2012-09-02,75.0
2012-09-09,73.0
2012-09-16,72.0
2012-09-23,99.0
2012-09-30,103.0
2012-10-07,122.0
2012-10-14,105.0
2012-10-21,84.0
2012-10-28,104.0
2012-11-04,99.0
2012-11-11,87.0
2012-11-18,99.0
2012-11-25,80.0
2012-12-02,78.0
2012-12-09,104.0
2012-12-16,92.0
2012-12-23,111.0
2012-12-30,132.0
2013-01-06,204.0
2013-01-13,219.0
2013-01-20,264.0
2013-01-27,292.0
2013-02-03,322.0
2013-02-10,246.0
2013-02-17,294.0
2013-02-24,247.0
2013-03-03,272.0
2013-03-10,307.0
2013-03-17,305.0
2013-03-24,314.0
2013-03-31,402.0
2013-04-07,491.0
2013-04-14,505.0
2013-04-21,536.0
2013-04-28,547.0
2013-05-05,556.0
2013-05-12,611.0
2013-05-19,637.0
2013-05-26,742.0
2013-06-02,813.0
2013-06-09,805.0
2013-06-16,838.0
2013-06-23,802.0
2013-06-30,676.0
2013-07-07,540.0
2013-07-14,389.0
2013-07-21,305.0
2013-07-28,288.0
2013-08-04,255.0
2013-08-11,378.0
2013-08-18,338.0
2013-08-25,382.0
2013-09-01,449.0
2013-09-08,337.0
2013-09-15,370.0
2013-09-22,402.0
2013-09-29,439.0
2013-10-06,435.0
2013-10-13,371.0
2013-10-20,495.0
2013-10-27,457.0
2013-11-03,401.0
2013-11-10,442.0
2013-11-17,365.0
2013-11-24,372.0
2013-12-01,347.0
2013-12-08,380.0
2013-12-15,371.0
2013-12-22,414.0
2013-12-29,436.0
2014-01-05,479.0
2014-01-12,401.0
2014-01-19,336.0
2014-01-26,234.0
2014-02-02,273.0
2014-02-09,369.0
2014-02-16,193.0
2014-02-23,186.0
2014-03-02,209.0
2014-03-09,224.0
2014-03-16,210.0
2014-03-23,225.0
2014-03-30,240.0
2014-04-06,244.0
2014-04-13,235.0
2014-04-20,282.0
2014-04-27,251.0
2014-05-04,261.0
2014-05-11,291.0
2014-05-18,427.0
2014-05-25,456.0
2014-06-01,458.0
2014-06-08,506.0
2014-06-15,550.0
2014-06-22,671.0
2014-06-29,888.0
2014-07-06,818.0
2014-07-13,744.0
2014-07-20,633.0
2014-07-27,484.0
2014-08-03,545.0
2014-08-10,438.0
2014-08-17,418.0
2014-08-24,367.0
2014-08-31,339.0
2014-09-07,362.0
2014-09-14,396.0
2014-09-21,344.0
2014-09-28,339.0
2014-10-05,278.0
2014-10-12,297.0
2014-10-19,213.0
2014-10-26,186.0
2014-11-02,168.0
2014-11-09,158.0
2014-11-16,149.0
2014-11-23,162.0
2014-11-30,212.0
2014-12-07,177.0
2014-12-14,198.0
2014-12-21,188.0
2014-12-28,158.0
2015-01-04,256.0
2015-01-11,228.0
2015-01-18,237.0
2015-01-25,259.0
2015-02-01,212.0
2015-02-08,173.0
2015-02-15,99.0
2015-02-22,172.0
2015-03-01,189.0
2015-03-08,110.0
2015-03-15,91.0
2015-03-22,129.0
2015-03-29,90.0
2015-04-05,107.0
2015-04-12,137.0
2015-04-19,113.0
2015-04-26,120.0
2015-05-03,135.0
2015-05-10,157.0
2015-05-17,109.0
2015-05-24,178.0
2015-05-31,151.0
2015-06-07,192.0
2015-06-14,207.0
2015-06-21,240.0
2015-06-28,242.0
2015-07-05,272.0
2015-07-12,263.0
2015-07-19,293.0
2015-07-26,250.0
2015-08-02,226.0
2015-08-09,221.0
2015-08-16,250.0
2015-08-23,225.0
2015-08-30,246.0
2015-09-06,217.0
2015-09-13,303.0
2015-09-20,214.0
2015-09-27,257.0
2015-10-04,235.0
2015-10-11,235.0
2015-10-18,224.0
2015-10-25,246.0
2015-11-01,266.0
2015-11-08,198.0
2015-11-15,254.0
2015-11-22,285.0
2015-11-29,259.0
2015-12-06,356.0
2015-12-13,333.0
2015-12-20,372.0
2015-12-27,459.0
2016-01-03,547.0
2016-01-10,620.0
2016-01-17,636.0
2016-01-24,623.0
2016-01-31,523.0
2016-02-07,419.0
2016-02-14,589.0
2016-02-21,507.0
2016-02-28,411.0
2016-03-06,395.0
2016-03-13,372.0
2016-03-20,304.0
2016-03-27,376.0
2016-04-03,289.0
2016-04-10,224.0
2016-04-17,229.0
2016-04-24,242.0
2016-05-01,180.0
2016-05-08,216.0
2016-05-15,212.0
2016-05-22,198.0
2016-05-29,215.0
2016-06-05,157.0
2016-06-12,192.0
2016-06-19,215.0
2016-06-26,234.0
2016-07-03,246.0
2016-07-10,223.0
2016-07-17,266.0
2016-07-24,221.0
2016-07-31,210.0
2016-08-07,197.0
2016-08-14,221.0
2016-08-21,274.0
2016-08-28,310.0
2016-09-04,242.0
2016-09-11,175.0
2016-09-18,174.0
2016-09-25,138.0
2016-10-02,125.0
2016-10-09,94.0
2016-10-16,108.0
2016-10-23,84.0
2016-10-30,85.0
2016-11-06,84.0
2016-11-13,72.0
2016-11-20,74.0
2016-11-27,86.0
2016-12-04,59.0
2016-12-11,81.0
2016-12-18,72.0
2016-12-25,64.0
2017-01-01,70.0
2017-01-08,90.0
2017-01-15,73.0
2017-01-22,63.0
2017-01-29,62.0
2017-02-05,77.0
2017-02-12,51.0
2017-02-19,54.0
2017-02-26,41.0
2017-03-05,32.0
2017-03-12,34.0
2017-03-19,32.0
2017-03-26,49.0
2017-04-02,37.0
2017-04-09,32.0
2017-04-16,51.0
2017-04-23,37.0
2017-04-30,42.0
2017-05-07,48.0
2017-05-14,48.0
2017-05-21,50.0
2017-05-28,66.0
2017-06-04,62.0
2017-06-11,79.0
2017-06-18,73.0
2017-06-25,75.0
2017-07-02,63.0
2017-07-09,53.0
2017-07-16,51.0
2017-07-23,66.0
2017-07-30,60.0
2017-08-06,56.0
2017-08-13,52.0
2017-08-20,51.0
2017-08-27,33.0
2017-09-03,40.0
2017-09-10,53.0
2017-09-17,58.0
2017-09-24,39.0
2017-10-01,51.0
2017-10-08,55.0
2017-10-15,62.0
2017-10-22,77.0
2017-10-29,62.0
2017-11-05,44.0
2017-11-12,50.0
2017-11-19,24.0
2017-11-26,37.0
2017-12-03,33.0
2017-12-10,40.0
2017-12-17,51.0
2017-12-24,66.0
2017-12-31,83.0
2018-01-07,68.0
2018-01-14,54.0
2018-01-21,45.0
2018-01-28,48.0
2018-02-04,50.0
2018-02-11,28.0
2018-02-18,38.0
2018-02-25,51.0
2018-03-04,37.0
2018-03-11,37.0
2018-03-18,36.0
2018-03-25,24.0
2018-04-01,38.0
2018-04-08,38.0
2018-04-15,56.0
2018-04-22,55.0
2018-04-29,74.0
2018-05-06,62.0
2018-05-13,63.0
2018-05-20,64.0
2018-05-27,52.0
2018-06-03,75.0
2018-06-10,55.0
2018-06-17,59.0
2018-06-24,75.0
2018-07-01,56.0
2018-07-08,44.0
2018-07-15,41.0
2018-07-22,56.0
2018-07-29,50.0
2018-08-05,59.0
2018-08-12,42.0
2018-08-19,66.0
2018-08-26,75.0
2018-09-02,75.0
2018-09-09,49.0
2018-09-16,63.0
2018-09-23,40.0
2018-09-30,51.0
2018-10-07,51.0
2018-10-14,60.0
2018-10-21,78.0
2018-10-28,75.0
2018-11-04,71.0
2018-11-11,78.0
2018-11-18,97.0
2018-11-25,109.0
2018-12-02,114.0
2018-12-09,107.0
2018-12-16,127.0
2018-12-23,160.0
2018-12-30,205.0
2019-01-06,245.0
2019-01-13,207.0
2019-01-20,221.0
2019-01-27,179.0
2019-02-03,135.0
2019-02-10,232.0
2019-02-17,181.0
2019-02-24,156.0
2019-03-03,133.0
2019-03-10,109.0
2019-03-17,96.0
2019-03-24,99.0
2019-03-31,108.0
2019-04-07,125.0
2019-04-14,134.0
2019-04-21,156.0
2019-04-28,192.0
2019-05-05,287.0
2019-05-12,307.0
2019-05-19,376.0
2019-05-26,400.0
2019-06-02,396.0
2019-06-09,464.0
2019-06-16,430.0
2019-06-23,492.0
2019-06-30,591.0
2019-07-07,661.0
2019-07-14,644.0
2019-07-21,601.0
2019-07-28,597.0
2019-08-04,521.0
2019-08-11,522.0
2019-08-18,474.0
2019-08-25,412.0
2019-09-01,326.0
2019-09-08,314.0
2019-09-15,299.0
2019-09-22,258.0
2019-09-29,243.0
2019-10-06,227.0
2019-10-13,239.0
2019-10-20,241.0
2019-10-27,306.0
2019-11-03,321.0
2019-11-10,372.0
2019-11-17,328.0
2019-11-24,295.0
2019-12-01,280.0
2019-12-08,257.0
2019-12-15,226.0
2019-12-22,290.0
2019-12-29,302.0
2020-01-05,342.0
2020-01-12,402.0
2020-01-19,307.0
2020-01-26,370.0
2020-02-02,400.0
2020-02-09,378.0
2020-02-16,380.0
2020-02-23,373.0
2020-03-01,375.0
2020-03-08,389.0
2020-03-15,367.0
2020-03-22,377.0
2020-03-29,315.0
2020-04-05,341.0
2020-04-12,360.0
2020-04-19,399.0
2020-04-26,390.0
2020-05-03,502.0
2020-05-10,524.0
2020-05-17,618.0
2020-05-24,731.0
2020-05-31,868.0
2020-06-07,1151.0
2020-06-14,1369.0
2020-06-21,1460.0
2020-06-28,1444.0
2020-07-05,1665.0
2020-07-12,1725.0
2020-07-19,1791.0
2020-07-26,1376.0
2020-08-02,1667.0
2020-08-09,1336.0
2020-08-16,1285.0
2020-08-23,1153.0
2020-08-30,937.0
2020-09-06,725.0
2020-09-13,671.0
2020-09-20,590.0
2020-09-27,605.0
2020-10-04,528.0
2020-10-11,591.0
2020-10-18,563.0
2020-10-25,440.0
2020-11-01,408.0
2020-11-08,354.0
2020-11-15,258.0
2020-11-22,279.0
2020-11-29,228.0
2020-12-06,227.0
2020-12-13,236.0
2020-12-20,196.0
2020-12-27,193.0
2021-01-03,194.0
2021-01-10,165.0
2021-01-17,151.0
2021-01-24,135.0
2021-01-31,141.0
2021-02-07,142.0
2021-02-14,148.0
2021-02-21,145.0
2021-02-28,139.0
2021-03-07,145.0
2021-03-14,129.0
2021-03-21,120.0
2021-03-28,113.0
2021-04-04,102.0
2021-04-11,112.0
2021-04-18,128.0
2021-04-25,84.0
2021-05-02,117.0
2021-05-09,92.0
2021-05-16,116.0
2021-05-23,129.0
2021-05-30,118.0
2021-06-06,137.0
2021-06-13,135.0
2021-06-20,126.0
2021-06-27,112.0
2021-07-04,104.0
2021-07-11,75.0
2021-07-18,80.0
2021-07-25,82.0
2021-08-01,70.0
2021-08-08,79.0
2021-08-15,56.0
2021-08-22,53.0
2021-08-29,46.0
2021-09-05,60.0
2021-09-12,74.0
2021-09-19,109.0
2021-09-26,105.0
2021-10-03,104.0
2021-10-10,85.0
2021-10-17,76.0
2021-10-24,75.0
2021-10-31,59.0
2021-11-07,42.0
2021-11-14,56.0
2021-11-21,63.0
2021-11-28,48.0
2021-12-05,64.0
2021-12-12,61.0
2021-12-19,68.0
2021-12-26,76.0
2022-01-02,106.0
2022-01-09,146.0
2022-01-16,178.0
2022-01-23,169.0
2022-01-30,153.0
2022-02-06,168.0
2022-02-13,206.0
2022-02-20,200.0
2022-02-27,263.0
2022-03-06,369.0
2022-03-13,421.0
2022-03-20,441.0
2022-03-27,510.0
2022-04-03,642.0
2022-04-10,733.0
2022-04-17,942.0
2022-04-24,1002.0
2022-05-01,845.0
2022-05-08,1311.0
2022-05-15,1273.0
2022-05-22,1563.0
2022-05-29,1451.0
2022-06-05,1459.0
2022-06-12,1253.0
2022-06-19,1171.0
2022-06-26,1186.0
2022-07-03,1164.0
2022-07-10,918.0
2022-07-17,1035.0
2022-07-24,1092.0
2022-07-31,894.0
2022-08-07,879.0
2022-08-14,679.0
2022-08-21,661.0
2022-08-28,577.0
2022-09-04,569.0
2022-09-11,545.0
2022-09-18,472.0
2022-09-25,426.0
2022-10-02,398.0
2022-10-09,376.0
2022-10-16,373.0
2022-10-23,313.0
2022-10-30,318.0
2022-11-06,294.0
2022-11-13,313.0
2022-11-20,267.0
2022-11-27,242.0
2022-12-04,326.0
2022-12-11,289.0
2022-12-18,272.0
2022-12-25,285.0
2023-01-01,279.0
2023-01-08,278.0
2023-01-15,273.0
2023-01-22,186.0
2023-01-29,223.0
2023-02-05,219.0
2023-02-12,148.0
2023-02-19,138.0
2023-02-26,111.0
2023-03-05,119.0
2023-03-12,149.0
2023-03-19,128.0
,
,
,
,
